time,S,I,R
0.0,990.0,10.0,0.0
0.5,2.4705301763550343e-7,952.6913722338431,47.30862751910418
1.0,3.2825156170544534e-7,906.2280656435082,93.7719340282407
1.5,-1.7836497094169528e-7,862.0308018392616,137.96919833910425
2.0,-2.659696124151785e-7,819.9890636317962,180.01093663417439
2.5,2.3889984720560706e-7,779.9977246032496,220.00227515785144
3.0,-3.235175380444901e-7,741.9567872372246,258.043213086294
3.5,-2.3068224861029312e-7,705.7711276509772,294.22887257970586
4.0,3.040277104815404e-8,671.3502633347057,328.6497366348925
4.5,3.6334539212515414e-8,638.6081246228557,361.3918753408108
5.0,-3.5473392930006985e-7,607.4628392559889,392.537161098746
5.5,-3.489670333959664e-8,577.8365266883424,422.16347334655563
6.0,2.30028274787374e-7,549.6551064738613,450.34489329611165
6.5,3.245861103864061e-8,522.848110791473,477.15188917606963
7.0,-3.610580543935037e-7,497.34850792165446,502.65149243940493
7.5,-2.0362414903212185e-7,473.0925348266926,526.9074653769329
8.0,4.3915392736422863e-7,450.0195390054687,549.980460555379
8.5,1.5837861770611706e-7,428.0718273617924,571.9281724798303
9.0,-2.0805697386688364e-7,407.19451834532646,592.8054818627317
9.5,-2.4463601455765403e-7,387.33540739224514,612.6645928523918
10.0,1.2208954081494623e-7,368.4448363073687,631.5551635705426
10.5,1.7393661172174253e-7,350.47556954305634,649.5244302830079
11.0,6.835111950411839e-8,333.38267441519304,666.6173255164565
11.5,-1.72157737342722e-7,317.12340975989514,682.8765904122631
12.0,3.640453824033032e-7,301.65711803322625,698.3428816027288
12.5,-3.9283287123263304e-7,286.9451275232555,713.0548728695776
13.0,-3.793158088925999e-7,272.9506485229015,727.0493518564147
13.5,1.9095699396265552e-7,259.638687759074,740.3613120499693
14.0,-2.256804953761162e-7,246.975959943049,753.0240402826319
14.5,4.244400394239132e-7,234.93079960212845,765.0691999734319
15.0,-2.0552323258356647e-8,223.4730897279231,776.5269102926293
15.5,3.92666053356593e-7,212.57417812042536,787.4258214869087
16.0,3.828270989316324e-7,202.2068131078472,797.7931865093256
16.5,-2.6109746498809696e-7,192.34507108901403,807.6549291720833
17.0,-2.8740775260747996e-7,182.96429131669012,817.0357089707176
