β,γ,peak_I_det,peak_I_stoch,final_R_det,final_R_stoch,peak_time_det
0.1,0.05,977.5597161240653,997.0,993.2465100806731,997.0,0.5
0.1,0.1,955.625967117857,995.0,999.9543789676286,1000.0,0.5
0.1,0.15,934.1872810092468,993.0,999.999691602816,1000.0,0.5
0.1,0.2,913.2324129439704,991.0,999.9999978991061,1000.0,0.5
0.2,0.05,976.4337910681802,999.0,993.2542886630391,997.0,0.5
0.2,0.1,953.4236812173242,997.0,999.9544864197777,1000.0,0.5
0.2,0.15,930.9565570703272,995.0,999.9996926922773,1000.0,0.5
0.2,0.2,909.019538534864,995.0,999.9999979069016,1000.0,0.5
0.3,0.05,976.0589339528402,999.0,993.2568783669079,997.0,0.5
0.3,0.1,952.6913722338431,999.0,999.9545235233431,1000.0,0.5
0.3,0.15,929.8835660468029,997.0,999.9996930521166,1000.0,0.5
0.3,0.2,907.6221152021445,995.0,999.999997915636,1000.0,0.5
0.4,0.05,975.8715981024716,999.0,993.258172584999,997.0,0.5
0.4,0.1,952.3255540093858,999.0,999.9545430130855,1000.0,0.5
0.4,0.15,929.347820487574,999.0,999.9996932685752,1000.0,0.5
0.4,0.2,906.9246592062684,997.0,999.9999979152041,1000.0,0.5
0.5,0.05,975.7592214775102,1000.0,993.258948943606,997.0,0.5
0.5,0.1,952.1061667265205,999.0,999.9545540811766,1000.0,0.5
0.5,0.15,929.0265951408784,999.0,999.9996934067572,1000.0,0.5
0.5,0.2,906.5066101596494,999.0,999.9999979149774,1000.0,0.5
0.6,0.05,975.6843154174337,1000.0,993.2594664257991,997.0,0.5
0.6,0.1,951.959952930823,999.0,999.9545617869206,1000.0,0.5
0.6,0.15,928.8125525164264,999.0,999.9996934604656,1000.0,0.5
0.6,0.2,906.2280656435082,999.0,999.9999979200132,1000.0,0.5
0.7,0.05,975.6308184845617,1000.0,993.2598360154457,997.0,0.5
0.7,0.1,951.8555405370912,999.0,999.9545665066371,1000.0,0.5
0.7,0.15,928.6597094629095,999.0,999.9996935538384,1000.0,0.5
0.7,0.2,906.0291936872899,999.0,999.9999979159744,1000.0,0.5
0.8,0.05,975.5906998078774,1000.0,993.2601131778403,997.0,0.5
0.8,0.1,951.777242450273,999.0,999.9545703252898,1000.0,0.5
0.8,0.15,928.5451013273437,999.0,999.999693600131,1000.0,0.5
0.8,0.2,905.8800886415505,999.0,999.9999979174925,1000.0,0.5
